job_title,job_detail_url,job_listed,company_name,company_link,company_location
Engineer AI Azure,https://es.linkedin.com/jobs/view/engineer-ai-azure-at-suntory-global-spirits-4141602409?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=RnjeR1yitE2A1G02q%2Bur8w%3D%3D&position=17&pageNum=23,4 days ago,Suntory Global Spirits,https://www.linkedin.com/company/suntoryglobalspirits?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Team Lead Data Analytics & Products,https://es.linkedin.com/jobs/view/team-lead-data-analytics-products-at-vodafone-4121060031?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=ZQqs7QobS211OiqiRe47KQ%3D%3D&position=18&pageNum=23,3 weeks ago,Vodafone,https://uk.linkedin.com/company/vodafone?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Key Account Manager - Madrid,https://es.linkedin.com/jobs/view/key-account-manager-madrid-at-unison-infrastructure-3996784620?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=FuHP4fdRD%2Bvufy%2FoIa9IPg%3D%3D&position=19&pageNum=23,6 months ago,Unison Infrastructure,https://www.linkedin.com/company/unisoninfra?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Junior BI Engineer,https://es.linkedin.com/jobs/view/junior-bi-engineer-at-apex-group-ltd-4136787153?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=YIJS6nWfd6qYZGnm7Tps0A%3D%3D&position=20&pageNum=23,1 week ago,Apex Group Ltd,https://bm.linkedin.com/company/the-apex-group-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Customer & Business Insights Specialist,https://es.linkedin.com/jobs/view/customer-business-insights-specialist-at-merck-life-science-4122346524?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=VfW1UW6H9JgNLcHw29bsvw%3D%3D&position=21&pageNum=23,4 weeks ago,Merck Life Science,https://de.linkedin.com/company/merck-life-science?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Senior Machine-Learning Engineer (m/f/d),https://es.linkedin.com/jobs/view/senior-machine-learning-engineer-m-f-d-at-basf-4035255166?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=YYBY8V2h8Q4CA5l%2FoRW2mw%3D%3D&position=22&pageNum=23,4 months ago,BASF,https://de.linkedin.com/company/basf?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Technical Sales Specialist: Artificial Inteligence and Machine Learning,https://es.linkedin.com/jobs/view/technical-sales-specialist-artificial-inteligence-and-machine-learning-at-ibm-4141179990?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=n6DQR2jagUI6VzrnHgMphA%3D%3D&position=23&pageNum=23,1 week ago,IBM,https://www.linkedin.com/company/ibm?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Assistant CRA - Barcelona,https://es.linkedin.com/jobs/view/assistant-cra-barcelona-at-thermo-fisher-scientific-4122152136?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=NYzrWo6ZOI6EagPe7rBNIg%3D%3D&position=24&pageNum=23,1 day ago,Thermo Fisher Scientific,https://www.linkedin.com/company/thermo-fisher-scientific?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
"ENERGY METEOROLOGIST - Dubai, UAE",https://es.linkedin.com/jobs/view/energy-meteorologist-dubai-uae-at-cobblestone-energy-4145913150?refId=b5q9Btvq3AAdNW927kTRBA%3D%3D&trackingId=EhESrjp%2BtI7luCai7Ro08A%3D%3D&position=25&pageNum=23,1 day ago,Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
NEW TECHNOLOGIES AND DIGITAL TRANSFORMATION CONSULTANT MADRID,https://es.linkedin.com/jobs/view/new-technologies-and-digital-transformation-consultant-madrid-at-management-solutions-3676144370?refId=LRxniJ5u5ZuhsVa3XZ5IpA%3D%3D&trackingId=zHu5j%2F4VSoukPqvy9%2FoeTA%3D%3D&position=1&pageNum=24,1 year ago,Management Solutions,https://es.linkedin.com/company/management-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
