job_title,job_detail_url,job_listed,company_name,company_link,company_location
MANAGER BUSINESS INTELIGENCE,https://es.linkedin.com/jobs/view/manager-business-inteligence-at-grupo-planeta-4126128761?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=YoiC3EftIuoSGCkpQzjGKg%3D%3D&position=20&pageNum=14,3 weeks ago,Grupo Planeta,https://es.linkedin.com/company/grupo-planeta?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer – Spark Scala,https://es.linkedin.com/jobs/view/data-engineer-%E2%80%93-spark-scala-at-grupo-tecdata-engineering-4144999494?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=jVm5rE8O%2B0SGa3pH9jn4HQ%3D%3D&position=21&pageNum=14,2 days ago,Grupo TECDATA Engineering,https://es.linkedin.com/company/grupo-tecdata-engineering?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Desarrollador/a python / SQL + azure,https://es.linkedin.com/jobs/view/desarrollador-a-python-sql-%2B-azure-at-avalora-tecnolog%C3%ADas-de-la-informaci%C3%B3n-4143294509?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=HSP2FdenVmpAzP5ruUll%2BA%3D%3D&position=22&pageNum=14,2 days ago,Avalora,https://es.linkedin.com/company/avalora?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Senior Data Engineer,https://es.linkedin.com/jobs/view/senior-data-engineer-at-the-valley-talent-4113607743?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=OzcBVNcslYpFTSXDD4w80Q%3D%3D&position=23&pageNum=14,1 month ago,The Valley Talent,https://es.linkedin.com/company/the-valley-talent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
"Data Engineer (Scala, Spark)",https://es.linkedin.com/jobs/view/data-engineer-scala-spark-at-capgemini-automotive-4144320776?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=qIZzjolERkZsMwgo7K5tmg%3D%3D&position=24&pageNum=14,3 days ago,Capgemini Automotive,https://www.linkedin.com/company/capgemini-automotive?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Research Analyst - Methanol,https://es.linkedin.com/jobs/view/research-analyst-methanol-at-wood-mackenzie-4127853697?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=z7BTuyu5jxNiPTr8fGDodA%3D%3D&position=25&pageNum=14,3 weeks ago,Wood Mackenzie,https://uk.linkedin.com/company/wood-mackenzie?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-wayops-3598180449?refId=BglDixWgBx0uA%2BuLDJ1gXA%3D%3D&trackingId=0urPkkKqgA9jzXYQFmFr3w%3D%3D&position=1&pageNum=15,1 year ago,WayOps,https://es.linkedin.com/company/wayops?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-keyrus-4096487346?refId=BglDixWgBx0uA%2BuLDJ1gXA%3D%3D&trackingId=YNcHdPMnEp5wwIJz7T6lfQ%3D%3D&position=2&pageNum=15,1 week ago,Keyrus,https://fr.linkedin.com/company/keyrus?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Implementation Analyst - EU division,https://es.linkedin.com/jobs/view/implementation-analyst-eu-division-at-visa-4144383121?refId=BglDixWgBx0uA%2BuLDJ1gXA%3D%3D&trackingId=a2Nxo8ntUBFVNYqtN5f3PQ%3D%3D&position=3&pageNum=15,3 days ago,Visa,https://www.linkedin.com/company/visa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista Cuantitativo - Riesgos & Modelización,https://es.linkedin.com/jobs/view/analista-cuantitativo-riesgos-modelizaci%C3%B3n-at-may-business-consulting-spain-4146286429?refId=BglDixWgBx0uA%2BuLDJ1gXA%3D%3D&trackingId=cze0CHSNaLijS4nfLDrJ4A%3D%3D&position=4&pageNum=15,1 day ago,May Business Consulting (Spain),https://es.linkedin.com/company/may-business-consulting-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
