,job_title,job_detail_url,job_listed,company_name,company_link,company_location
269,Research Development Software Engineer,https://es.linkedin.com/jobs/view/research-development-software-engineer-at-plenoptika-4142611444?refId=xAOfEyQvsTybZp6n8A%2B4ZA%3D%3D&trackingId=f1E7Z81UhIL1EGXM88hZ1A%3D%3D&position=25&pageNum=16,5 days ago,PlenOptika,https://www.linkedin.com/company/plenoptika?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
270,Data Analyst- SAP Center of Expertise (f/m/d),https://es.linkedin.com/jobs/view/data-analyst-sap-center-of-expertise-f-m-d-at-hitachi-energy-4141103405?refId=RVoI%2BWwn15hCaFEnz4TWeA%3D%3D&trackingId=GrxtkVDXzr2Tq8NR408%2FYA%3D%3D&position=19&pageNum=20,5 days ago,Hitachi Energy,https://ch.linkedin.com/company/hitachienergy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
271,Desarrollador de Scala,https://es.linkedin.com/jobs/view/desarrollador-de-scala-at-ad4-oct%C3%B3gono-4141124287?refId=LtGvNDRbIiqTwa1XzDQk5w%3D%3D&trackingId=QGBu6ydm6xdew0Ifi8rXIA%3D%3D&position=5&pageNum=21,5 days ago,AD4 Octógono,https://es.linkedin.com/company/ad4-octogono?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
272,Consultor de Programación SAS,https://es.linkedin.com/jobs/view/consultor-de-programaci%C3%B3n-sas-at-cgi-4116540353?refId=6iugOUKVCcIlzIMTSgbc4A%3D%3D&trackingId=JVtSzDjk60FaZjgREGepdg%3D%3D&position=6&pageNum=23,5 days ago,CGI,https://ca.linkedin.com/company/cgi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
273,Back End Developer,https://es.linkedin.com/jobs/view/back-end-developer-at-ravenpack-4036349581?refId=6nUlb6gH8Ge0cwv7vGKOxQ%3D%3D&trackingId=hry5TnJnRwDaQ0OV0TIEfQ%3D%3D&position=11&pageNum=24,5 days ago,RavenPack,https://es.linkedin.com/company/ravenpack?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
274,Business Intelligence Analyst,https://es.linkedin.com/jobs/view/business-intelligence-analyst-at-lognext-4140695127?refId=27zDqnaAzgOwPOyBAP6gyA%3D%3D&trackingId=k3H2JDKMyMK6Nkq1dO6JdQ%3D%3D&position=11&pageNum=28,5 days ago,Lognext,https://es.linkedin.com/company/lognext?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
275,Network Automation Software Engineer,https://es.linkedin.com/jobs/view/network-automation-software-engineer-at-nokia-4140644375?refId=BzKsdm%2FLcWVFlzPY6XXEyg%3D%3D&trackingId=nXjdad7qjEX87yYkn3wUgw%3D%3D&position=1&pageNum=29,5 days ago,Nokia,https://fi.linkedin.com/company/nokia?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
276,Senior Software Engineer (Java) - hybrid Madrid,https://es.linkedin.com/jobs/view/senior-software-engineer-java-hybrid-madrid-at-matchtech-4141136776?refId=BzKsdm%2FLcWVFlzPY6XXEyg%3D%3D&trackingId=XoyLCwOC%2BVj2fXClarMmSQ%3D%3D&position=9&pageNum=29,5 days ago,Matchtech,https://uk.linkedin.com/company/matchtech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
277,DLP (Data Loss Prevention) Solution Architect,https://es.linkedin.com/jobs/view/dlp-data-loss-prevention-solution-architect-at-stellantis-4114695530?refId=BzKsdm%2FLcWVFlzPY6XXEyg%3D%3D&trackingId=S0%2BaRB9YFlpvrdML1bvftQ%3D%3D&position=25&pageNum=29,5 days ago,Stellantis,https://nl.linkedin.com/company/stellantis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
278,Software Development Engineer II,https://es.linkedin.com/jobs/view/software-development-engineer-ii-at-expedia-group-4130986984?refId=4T3q6%2BDUDS%2Fwfb0hIc%2BkJw%3D%3D&trackingId=v%2FyFn5s966kbV%2FEut1BhkQ%3D%3D&position=9&pageNum=30,5 days ago,Expedia Group,https://www.linkedin.com/company/expedia?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
